Dataset,RSD.log10sd,RSD.log10mad,RSD.log10iqr,RSD.log10ci90,RSD.log10ci95,Model,sigmaH,DAF,AHU,Residuals
134,1.77407135974884,1.44083698944555,3.20272769900045,4.98034057144199,5.44667289376176,0.845960242624935,0.0201367234274686,0,0.0304751088732419,0.110372546611934
135,2.04061354687071,2.61641321975965,3.49191477572454,6.23984278391826,6.6295695788193,0.89204424809121,0.016026709059354,0,0.0186775363936487,0.0639570297977417
136,1.87573585319245,2.62607745707743,3.65946705562131,5.09253025781174,5.41157364660797,0.894378267849481,0.0340876958065946,0.00159405650322894,0.0257926337048946,0.0515557888813598
137,1.9341846116778,2.51462726500336,3.3892965358369,5.48911577880806,6.21186753243059,0.398737796316875,0.0299845520918533,0.00154478763729822,0.0177463120819409,0.551000519689842
138,2.05793536835708,2.14487216859938,3.92340950592923,5.85831492015183,6.22630291233154,0.90089481758167,0.0277601863019076,0,0.0197178849470407,0.0352700708934613
139,1.92384500911096,0.596364105730549,1.0148652561486,5.73451958197049,6.19528231772469,0.877578607788955,0.0194992873020249,0.00151297664340881,0.0220448957285777,0.0720711346077513
140,1.57385838292428,1.32328910619727,2.16439495702653,4.99038726798211,5.78884398965117,0.422293475482365,0.0236940208196054,0,0.0337184660614207,0.527291536480229
141,1.67814212317233,1.26542312606251,2.63029294660537,5.07650293419648,5.6167837462544,0.843022190238407,0.0210733372843443,0,0.0318587440104146,0.114136963204433
142,1.74940297951456,0.783390356749856,1.20686232612283,5.51715633158157,5.89374278164676,0.850474318704859,0.0222020159916089,0.00156924216772629,0.0290479349961722,0.0890488003869476
143,2.0723248142722,2.11502234465795,3.08728025862973,6.40763547315897,8.12744745566641,0.378736227940689,0.0218284256456988,0,0.01923382788006,0.587794574188312
144,1.88400968977218,2.42592365419487,3.39729109326231,5.5945102355882,6.01080245956374,0.87192336924131,0.0361720918941722,0.00134005147023442,0.0231631354600289,0.0613729746527299
145,1.63370981143197,1.79418583544221,2.94170680587068,4.63061890524193,5.12507680127295,0.486192844599878,0.0287894331061199,0.00233969527242537,0.0288352879453141,0.454661189963525
146,1.91981947338205,1.02593929524564,3.14413670608647,5.61714867046475,5.97461147318182,0.893039360482975,0.0196543227506619,0,0.0241183118565052,0.0666364309556744
147,1.84268843053041,1.72196747874988,3.27872619257213,5.09279892257475,5.66707665498302,0.582939138840605,0.0285087540545619,0.00210059654466126,0.0291470815397825,0.355754122013021
148,1.97786074761202,2.49317134783564,3.32640987390027,6.11709113790365,6.49385217519728,0.912119069587566,0.0152691725236385,0,0.0227019653414621,0.0559687618885886
149,2.22157062261109,2.63207192872798,4.41791212516345,6.05630010158749,6.47328864879931,0.919748769535969,0.0229921550449321,0.00122569394303081,0.0174208075428741,0.0362156535595636
150,1.96419907484044,2.25537604311505,3.03008757085894,6.17711048278644,6.60999897807112,0.847589142004604,0.0200696658606634,0.00150543135495485,0.0209367526717073,0.107641830979362
151,0.773623413194111,0.666501077917588,0.915376483060985,2.43283889142955,3.00002569058874,0.221642646442142,0.443642572753517,0.00557503816946376,0.136787260421128,0.183285765688282
152,1.78040674529311,2.06718764348153,2.94142327819241,5.56257715627063,6.02207915484556,0.910968632053997,0.0180387821338855,0,0.0305739090704048,0.0500102141096787
153,1.66328108727852,1.91527768645897,2.57016014732873,5.41607671072456,5.82511172506112,0.864862527617483,0.0225019692959238,0,0.0271156767995496,0.0696265451464558
154,2.21244460641203,2.08716355954135,4.19115060173592,5.98685915415967,6.38443010546189,0.903612138669294,0.0306614490685186,0.00131558155721275,0.0157332324911585,0.036580573123083
155,2.02693369660209,1.61765332145757,2.76789098036713,6.31838146369385,7.30510330740232,0.153816511986474,0.0543862116851597,0.00220730512124278,0.0196497340027478,0.771612903190617
156,1.78093620550389,1.17025036999648,1.74149802566587,5.75877142995416,6.17451529862596,0.879680234117082,0.0202451557489161,0.00126149297031534,0.0266229748851375,0.0725798201091015
157,2.99324829167,1.44698100151706,6.20979660563018,7.48151906993719,7.82557978260926,0.947315572508114,0.0210964271322091,0.000427398724693854,0.009683388093876,0.0173258466731475
158,2.83676979098165,1.86182238549035,5.94607029815634,7.42166834961012,7.76616565502346,0.936640909269507,0.0208154298192702,0.000314382118128118,0.0107878377271187,0.0230280434390989
159,2.28907345593363,3.5381685812497,4.7637096879282,6.2788377020288,6.61109925090179,0.930250808307319,0.0183627224154481,0,0.0156591458094756,0.0228884124053727
160,1.75859126575906,1.96266329797869,3.14683030679916,5.15847514460123,5.57982975661099,0.844571736673216,0.0246507218806413,0.00134890446792643,0.0244678351459329,0.0917406459922478
161,2.05539687830733,0.9178216937442,3.65382850224722,5.73035615479834,6.14149719767877,0.866999370770919,0.0234210186709259,0.00125920098947087,0.0215557293198675,0.0839160997799146
