Dataset,RSD.log10sd,RSD.log10mad,RSD.log10iqr,RSD.log10ci90,RSD.log10ci95,Model,sigmaH,DAF,AHU,Residuals
134,1.81544821017098,1.32422950429575,3.12308256242992,5.12445644903918,5.72646255104363,0.628712951403057,0.0287371349082907,0.00220634399948128,0.0267774726164736,0.302300936393449
135,2.34256987795601,3.33257843426363,4.67780892738838,6.29947775359058,6.62910854023323,0.91915145478662,0.0246477348330942,0.00018690131072573,0.0145968871617833,0.0229803398761979
136,1.92477162870033,2.63565274025818,3.51343947106997,5.16044066589249,5.87662554385765,0.486788963344033,0.0452193816480259,4.79277222905309e-06,0.0262604933644579,0.424400068340224
137,1.73634340353178,0.842291771113014,1.27854981421457,5.45806916518428,5.88407560182276,0.842912721136457,0.0196494991195912,0.00208179763091501,0.0249646274787176,0.0947564108782631
138,1.89596903528609,0.968327800725638,1.60876801459035,5.77358506749271,6.14723453679144,0.87207291850727,0.0187070316364827,0.000984948633675705,0.0234168251583371,0.0684756096249477
139,1.85336242884237,2.46200436687884,3.68152293853011,5.21626852421007,5.51873049353607,0.831719734962293,0.034001102807942,0.00189370304020564,0.0279570756426981,0.0943629478360781
140,1.76276174936047,1.31935312799677,3.14453335618523,5.06592626063925,5.50376878809716,0.824388081334811,0.02432755269805,0.000595313600473102,0.0264938833262953,0.11224241823498
141,1.75185878537519,1.41341386516471,3.06394994794369,5.00870753251178,5.3986951084202,0.836708921099948,0.0257096358760679,0.000839367894865303,0.0226530280880619,0.103451789718428
142,2.07504850552033,2.79654619200353,3.77639878665598,6.35122340336993,6.71669063755549,0.893848788519322,0.0181942428223981,0.00081975358755464,0.0205641814443483,0.0540811922670279
143,1.88422757557735,2.73192335275205,3.68322886125456,5.04968095349234,5.44556945354517,0.88194281082298,0.0276796463772145,0.000988940531609889,0.0247765101296765,0.0499101660449949
144,2.0218970673526,2.4735607716837,3.34604070732122,5.72010821987475,7.08512102836717,0.318315198795644,0.0433341816267161,0.00519525583241457,0.0161992312170939,0.610618399808499
