"Index","indivrisk","Incidence","X5.","X50.","X95."
42,1e-05,0.5,1.47e-06,7.96e-06,0.00978714
42,1e-04,0.5,1.45e-05,7.69e-05,0.016011152
42,0.001,0.5,0.000144948,0.000730465,0.028710209
42,0.01,0.5,0.001445346,0.006603027,0.062260304
42,0.1,0.5,0.014423742,0.050528472,0.188904
43,1e-06,0.5,3.53e-05,0.005867281,2.839360228
43,1e-05,0.5,0.00035075,0.049486449,3.285147547
43,1e-04,0.5,0.00341345,0.278338795,3.864477645
43,0.001,0.5,0.03227605,0.829546367,4.875067575
43,0.01,0.5,0.255491168,1.72991425,6.600169588
43,0.1,0.5,1.033091386,3.31199476,10.57039604
44,1e-06,0.5,1.74e-06,2.1e-05,0.259169234
44,1e-05,0.5,1.74e-05,0.000206119,0.298155856
44,1e-04,0.5,0.000172768,0.001955637,0.33843598
44,0.001,0.5,0.001652852,0.016814066,0.400073729
44,0.01,0.5,0.014841081,0.088982946,0.502235389
44,0.1,0.5,0.081365708,0.268098805,0.904487038
45,1e-06,0.5,0.000631734,0.026209727,54.29607263
45,1e-05,0.5,0.006315235,0.252963402,63.39612068
45,1e-04,0.5,0.062985552,2.190224329,75.27774146
45,0.001,0.5,0.617904494,11.54252406,97.61001441
45,0.01,0.5,5.535781629,33.06684199,136.0853731
45,0.1,0.5,24.43591674,79.18918614,290.6425277
46,1e-06,0.5,6.54e-07,1.53e-05,0.153924628
46,1e-05,0.5,6.54e-06,0.000151594,0.184110093
46,1e-04,0.5,6.53e-05,0.00146277,0.218197085
46,0.001,0.5,0.000652369,0.01236774,0.264164134
46,0.01,0.5,0.006421801,0.063458777,0.370548869
46,0.1,0.5,0.050040934,0.18603463,0.650929005
47,1e-06,0.5,6.03e-07,0.000240134,0.39915612
47,1e-05,0.5,5.85e-06,0.000866276,0.531710163
47,1e-04,0.5,5.61e-05,0.003275002,0.693403391
47,0.001,0.5,0.000519241,0.012929083,0.918054889
47,0.01,0.5,0.004627904,0.05553155,1.28271591
47,0.1,0.5,0.038109465,0.277621747,1.987011572
48,1e-06,0.5,1.02e-06,7.78e-06,1.015481375
48,1e-05,0.5,1.02e-05,7.76e-05,1.158723164
48,1e-04,0.5,0.00010176,0.000774817,1.365929485
48,0.001,0.5,0.001017406,0.007652829,1.621305434
48,0.01,0.5,0.010164576,0.07056103,2.038987161
48,0.1,0.5,0.099006835,0.476111451,2.928999756
49,1e-06,0.5,0.000202214,0.003516667,0.016533441
49,1e-05,0.5,0.00035801,0.004311533,0.018288804
49,1e-04,0.5,0.000649669,0.005314289,0.020443123
49,0.001,0.5,0.001098601,0.00661941,0.023492621
49,0.01,0.5,0.001770876,0.008250745,0.027931218
49,0.1,0.5,0.003020748,0.010673195,0.034549961
50,1e-06,0.5,2.49e-05,0.000134038,3.255996831
50,1e-05,0.5,0.000247832,0.001324044,4.141761003
50,1e-04,0.5,0.002411132,0.013070058,5.193363343
50,0.001,0.5,0.023573838,0.126894315,6.673604748
50,0.01,0.5,0.221332106,1.115008424,9.410714801
50,0.1,0.5,1.768270015,7.254754904,30.01359771
51,1e-06,0.5,0.007214174,6.328488652,27.19488546
51,1e-05,0.5,0.065894799,7.132528888,28.39162461
51,1e-04,0.5,0.416821726,8.169400877,30.22646566
51,0.001,0.5,1.384281668,9.353641963,32.36290024
51,0.01,0.5,2.889298671,10.83890736,35.41614119
51,0.1,0.5,4.355025302,13.39092407,41.52359855
52,1e-06,0.5,1.12e-05,4.78e-05,4.069796936
52,1e-05,0.5,0.000112126,0.000475361,5.039127061
52,1e-04,0.5,0.001107329,0.004733152,6.300204316
52,0.001,0.5,0.010983553,0.047075542,8.058750966
52,0.01,0.5,0.109289723,0.458985136,10.96075486
52,0.1,0.5,1.046262365,4.123674882,20.61245297
53,1e-06,0.5,1.42e-06,8.62e-06,0.431117104
53,1e-05,0.5,1.42e-05,8.6e-05,0.544658121
53,1e-04,0.5,0.000142001,0.00085529,0.681563835
53,0.001,0.5,0.001415673,0.008405716,0.86363245
53,0.01,0.5,0.01392229,0.07518389,1.133961388
53,0.1,0.5,0.119016986,0.479399691,1.933615121
54,1e-06,0.5,3.23e-07,3.27e-06,0.047766619
54,1e-05,0.5,3.22e-06,3.26e-05,0.053742931
54,1e-04,0.5,3.22e-05,0.000319917,0.060963082
54,0.001,0.5,0.000319928,0.002879681,0.070879033
54,0.01,0.5,0.002966596,0.016566123,0.087628659
54,0.1,0.5,0.015777493,0.051260106,0.167273908
55,1e-06,0.5,5.52e-07,5.75e-06,0.050624079
55,1e-05,0.5,5.52e-06,5.73e-05,0.057762784
55,1e-04,0.5,5.51e-05,0.000560412,0.067235516
55,0.001,0.5,0.000543577,0.005010189,0.081391087
55,0.01,0.5,0.004843733,0.02467243,0.108701198
55,0.1,0.5,0.020168901,0.069884468,0.28206585
56,1e-06,0.5,1.8e-07,9.94e-07,0.024710663
56,1e-05,0.5,1.8e-06,9.92e-06,0.029560944
56,1e-04,0.5,1.8e-05,9.87e-05,0.036489107
56,0.001,0.5,0.000179562,0.000965052,0.044748669
56,0.01,0.5,0.001754938,0.008414193,0.064483396
56,0.1,0.5,0.01400842,0.050322858,0.194721772
57,1e-06,0.5,2.21e-07,1.3e-06,0.033958636
57,1e-05,0.5,2.21e-06,1.3e-05,0.039901629
57,1e-04,0.5,2.21e-05,0.000129995,0.047413493
57,0.001,0.5,0.000220532,0.001265423,0.056796801
57,0.01,0.5,0.002126025,0.010568113,0.073985719
57,0.1,0.5,0.015055258,0.051617487,0.19091965
58,1e-06,0.5,2.86e-08,1.24e-07,0.022369824
58,1e-05,0.5,2.86e-07,1.24e-06,0.025908179
58,1e-04,0.5,2.86e-06,1.24e-05,0.030675931
58,0.001,0.5,2.85e-05,0.0001235,0.035909916
58,0.01,0.5,0.000285603,0.001212984,0.044032352
58,0.1,0.5,0.002755805,0.010511674,0.058561433
59,1e-06,0.5,3.66e-07,3.59e-06,0.040144076
59,1e-05,0.5,3.66e-06,3.58e-05,0.046120371
59,1e-04,0.5,3.65e-05,0.000352843,0.053823199
59,0.001,0.5,0.000364366,0.003215435,0.065829817
59,0.01,0.5,0.003449799,0.019196998,0.093481516
59,0.1,0.5,0.019543482,0.06558108,0.243129139
60,1e-06,0.5,1.08e-06,0.000131008,0.021608958
60,1e-05,0.5,9.44e-06,0.000333558,0.030261923
60,1e-04,0.5,7.41e-05,0.001021325,0.042804298
60,0.001,0.5,0.000426631,0.003840001,0.063381245
60,0.01,0.5,0.001630738,0.014502347,0.154619151
60,0.1,0.5,0.008080143,0.064099236,0.828004481
61,1e-06,0.5,5.01e-06,0.000213259,1.629450135
61,1e-05,0.5,5.01e-05,0.001587482,2.1528207
61,1e-04,0.5,0.000500557,0.012339422,2.903588058
61,0.001,0.5,0.005004438,0.08531171,4.111110026
61,0.01,0.5,0.04999341,0.509925656,6.288748635
61,0.1,0.5,0.503270229,2.46342234,11.56713423
62,1e-06,0.5,5.25e-06,0.000100327,1.699920333
62,1e-05,0.5,5.25e-05,0.000913574,2.202125592
62,1e-04,0.5,0.000522471,0.008075846,2.948302886
62,0.001,0.5,0.005198321,0.067078773,4.06298078
62,0.01,0.5,0.051379788,0.461799351,6.071760957
62,0.1,0.5,0.509491847,2.401715806,11.19129094
63,1e-06,0.5,1.05e-06,5.17e-06,0.864722026
63,1e-05,0.5,1.05e-05,5.17e-05,1.009636018
63,1e-04,0.5,0.000104838,0.000516959,1.204816841
63,0.001,0.5,0.001048045,0.00515816,1.46507741
63,0.01,0.5,0.010453264,0.050626709,1.917857669
63,0.1,0.5,0.10244656,0.432936935,2.8047214
64,1e-06,0.5,1.92e-05,0.002075099,5.339636141
64,1e-05,0.5,0.000178723,0.007494395,6.685851484
64,1e-04,0.5,0.001661707,0.030416337,8.268069537
64,0.001,0.5,0.012793843,0.156880449,10.27425997
64,0.01,0.5,0.071075931,0.938862448,13.38873149
64,0.1,0.5,0.22776559,4.967985868,21.57230556
65,1e-06,0.5,1.5e-06,6.51e-06,0.145623401
65,1e-05,0.5,1.5e-05,6.46e-05,0.216079829
65,1e-04,0.5,0.000149537,0.000642725,0.351003337
65,0.001,0.5,0.001488435,0.006314943,0.583793944
65,0.01,0.5,0.014812546,0.061081344,1.10441151
65,0.1,0.5,0.148635862,0.568510163,2.82073628
66,1e-06,0.5,0.000405698,0.002938261,64.85829518
66,1e-05,0.5,0.004056574,0.029356485,75.71383753
66,1e-04,0.5,0.040527978,0.290429361,89.88794412
66,0.001,0.5,0.403027569,2.76359062,107.010177
66,0.01,0.5,3.800936866,20.11841291,134.9554058
66,0.1,0.5,23.88275772,77.08485097,249.5770136
67,1e-06,0.5,0.046106927,25.5026001,116.5565672
67,1e-05,0.5,0.425003043,29.36868653,122.7507057
67,1e-04,0.5,2.422210818,34.41527707,130.8603107
67,0.001,0.5,7.012112922,40.21272833,141.7378994
67,0.01,0.5,11.69663139,47.33428942,155.7373983
67,0.1,0.5,17.21243723,56.44276061,175.7428118
68,1e-06,0.5,0.219673768,24.99697502,114.4574936
68,1e-05,0.5,1.4548705,28.83233379,119.6731282
68,1e-04,0.5,4.19831034,33.32576837,127.3130275
68,0.001,0.5,7.931270824,38.48752787,136.1743144
68,0.01,0.5,12.09604638,44.62917664,148.6463731
68,0.1,0.5,15.88532763,52.05847616,165.2340128
69,1e-06,0.5,8.18e-08,0.018934359,1.694646495
69,1e-05,0.5,6.1e-07,0.042323207,2.478532942
69,1e-04,0.5,4.26e-06,0.094329362,3.676666876
69,0.001,0.5,2.9e-05,0.213300261,5.528580049
69,0.01,0.5,0.000197211,0.488938361,8.422301425
69,0.1,0.5,0.001425035,1.212848493,13.50523029
70,1e-06,0.5,0.000131141,0.001566435,12.98272492
70,1e-05,0.5,0.001186529,0.014611029,17.48621236
70,1e-04,0.5,0.010229911,0.126196501,23.63271081
70,0.001,0.5,0.082453369,0.987704866,32.92869373
70,0.01,0.5,0.420963773,6.082202521,53.21788681
70,0.1,0.5,3.123718421,35.19565193,182.5712158
71,1e-06,0.5,0.000271194,0.00221321,31.78429581
71,1e-05,0.5,0.002709032,0.02137234,42.63317454
71,1e-04,0.5,0.027065485,0.203207257,59.15811119
71,0.001,0.5,0.267802474,1.833780783,86.60344231
71,0.01,0.5,2.597618427,15.00502642,148.5489173
71,0.1,0.5,24.37271977,97.39635335,381.6413146
72,1e-06,0.5,0.000362084,0.003657451,10.73917091
72,1e-05,0.5,0.003616248,0.036333963,12.78650441
72,1e-04,0.5,0.035883673,0.337183182,15.44818545
72,0.001,0.5,0.323572168,2.149923657,19.32453904
72,0.01,0.5,1.791340113,7.031989508,28.12146532
72,0.1,0.5,4.568428257,14.90153177,46.89093505
73,1e-06,0.5,3.41e-06,0.000128955,0.710930204
73,1e-05,0.5,3.41e-05,0.001233715,0.796270126
73,1e-04,0.5,0.000341127,0.010954213,0.896748609
73,0.001,0.5,0.003380182,0.074988652,1.050876052
73,0.01,0.5,0.032415081,0.275179181,1.346444923
73,0.1,0.5,0.190188814,0.674967812,2.184468071
74,1e-06,0.5,3.17e-05,0.000222013,4.179458381
74,1e-05,0.5,0.00031697,0.002208683,5.119306458
74,1e-04,0.5,0.003164967,0.021825082,6.366982125
74,0.001,0.5,0.031581461,0.208697284,8.059433727
74,0.01,0.5,0.306655173,1.704223991,11.50131396
74,0.1,0.5,2.633988356,9.389155512,31.0943473
75,1e-06,0.5,1.9e-05,0.066951983,1.158044966
75,1e-05,0.5,0.000189323,0.12280854,1.504462698
75,1e-04,0.5,0.001878519,0.22985027,1.988666434
75,0.001,0.5,0.017999884,0.434244408,2.696690996
75,0.01,0.5,0.143442392,0.879099119,3.902589412
75,0.1,0.5,0.624224997,2.128113989,7.17773655
76,1e-06,0.5,6.12e-05,0.000486747,6.910538611
76,1e-05,0.5,0.000611883,0.004851824,7.845525798
76,1e-04,0.5,0.006101651,0.047749407,9.118349507
76,0.001,0.5,0.058704959,0.415739495,10.84618844
76,0.01,0.5,0.437057505,2.143835866,13.33468742
76,0.1,0.5,1.583600936,5.531893763,19.65147965
77,1e-06,0.5,1.85e-05,9.4e-05,4.881489248
77,1e-05,0.5,0.000184614,0.000938628,5.583963755
77,1e-04,0.5,0.001846055,0.009366642,6.603086195
77,0.001,0.5,0.018369776,0.091448064,7.906555482
77,0.01,0.5,0.169989479,0.78424824,9.653851989
77,0.1,0.5,1.142192891,4.142291522,15.77280173
78,1e-06,0.5,3.31e-05,0.000215815,5.010330767
78,1e-05,0.5,0.000330541,0.002155963,6.068393892
78,1e-04,0.5,0.003305558,0.021467082,7.499827653
78,0.001,0.5,0.032990945,0.207508525,9.114052268
78,0.01,0.5,0.324729024,1.693194497,12.05587047
78,0.1,0.5,2.594890736,9.008780438,30.82061405
79,1e-06,0.5,3.38e-06,4.54e-05,0.451432404
79,1e-05,0.5,3.37e-05,0.000436881,0.589017993
79,1e-04,0.5,0.000335074,0.004091141,0.795879329
79,0.001,0.5,0.003267074,0.035578128,1.119863388
79,0.01,0.5,0.031837514,0.245711774,1.804492688
79,0.1,0.5,0.289977186,1.173721794,4.327744986
80,1e-06,0.5,1.53e-06,7.74e-06,0.244334408
80,1e-05,0.5,1.53e-05,7.72e-05,0.33675639
80,1e-04,0.5,0.000153081,0.000765411,0.479259877
